15xxxxxx4,ODI,MM B.Tech,8.59,GE,CS B.Tech,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,
15xxxxxx1,PPA,MM B.Tech,8.67,GE,CS B.Tech,EE B.Tech,ME B.Tech,,,,,,,,,,,,
15xxxxxx9,PPA,EE Dual Deg E2,8.12,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx8,PTA,EE Dual Deg E1,9.33,GE,EE B.Tech,,,,,,,,,,,,,,
15xxxxxx5,PTA,CL B.Tech,9.23,GE,EE Dual Deg E1,EE Dual Deg E2,,,,,,,,,,,,,
15xxxxxx2,PTA,CE B.Tech,8.64,GE,CS B.Tech,EE B.Tech,ME B.Tech,,,,,,,,,,,,
15xxxxxx0,PTA,MM Dual Deg Y1,8.45,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME Dual Deg M2,EN Dual Deg,MM B.Tech,MM Dual Deg Y2,,,,,,,
15xxxxxx9,PTA,MM B.Tech,6.26,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,
15xxxxxx1,RAD,MM B.Tech,9.3,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,,,,,,,,,,,,
15xxxxxx1,RAM,ME Dual Deg M2,9.31,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,
15xxxxxx9,RAM,CE B.Tech,8.57,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,,,,,,,,,,,,
15xxxxxx7,RAN,MM B.Tech,7.68,GE,EE B.Tech,ME B.Tech,EN Dual Deg,,,,,,,,,,,,
15xxxxxx1,RAO,CE B.Tech,8.28,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,ME Dual Deg M2,,,,,,,,,
15xxxxxx7,rde,ME B.Tech,7.89,GE,EE Dual Deg E1,EE B.Tech,EP B.Tech,EP Dual Deg N1,CS B.Tech,EE Dual Deg E2,,,,,,,,,
15xxxxxx3,RMA,EP Dual Deg N1,8.93,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,,,,,,,,,,,
15xxxxxx4,RMA,MM B.Tech,8.43,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,ME Dual Deg M2,CL B.Tech,,,,,,,,
15xxxxxx5,RNI,EE B.Tech,9.47,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx0,RNI,EN Dual Deg,8.59,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,ME Dual Deg M2,,,,,,,,,
15xxxxxx9,SAN,ME B.Tech,9.48,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx0,SHI,AE B.Tech,9.41,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,,,,,,,,,,,
15xxxxxx6,shi,ME B.Tech,9.24,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx0,SrS,EP B.Tech,8.46,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,
15xxxxxx3,THY,AE B.Tech,8.55,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,EP B.Tech,EP Dual Deg N1,,,,,,,,
15xxxxxx1,TRA,MM B.Tech,8.8,GE,CS B.Tech,EE B.Tech,ME B.Tech,CL B.Tech,CE B.Tech,AE B.Tech,EP B.Tech,,,,,,,,
15xxxxxx4,UHI,AE B.Tech,9.35,GE,EP B.Tech,EP Dual Deg N1,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,EN Dual Deg,,,,,,,,,
15xxxxxx1,UKH,MM B.Tech,8.64,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,ME Dual Deg M2,EP B.Tech,EP Dual Deg N1,,,,,,,,
15xxxxxx8,UNJ,AE B.Tech,8.8,GE,EP B.Tech,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,
15xxxxxx3,USH,MM B.Tech,8.52,GE,CS B.Tech,ME B.Tech,,,,,,,,,,,,,
15xxxxxx4,VEK,EN Dual Deg,8.67,GE,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,,
15xxxxxx2,VLA,CH,8.19,GE,ME B.Tech,ME Dual Deg M2,CL B.Tech,EN Dual Deg,,,,,,,,,,,
15xxxxxx4,VYA,CE B.Tech,8.54,GE,EE B.Tech,ME B.Tech,,,,,,,,,,,,,
15xxxxxx7,WAL,ME B.Tech,9.71,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx2,WAL,CL B.Tech,9.04,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,,,,,,,,,,,
15xxxxxx4,WAL,CE B.Tech,8.45,GE,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,,
15xxxxxx0,WAR,EN Dual Deg,8.12,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,,
15xxxxxx0,WAT,CE B.Tech,6.97,SC,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx6,XIT,EE Dual Deg E1,8.97,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx2,yay,MM B.Tech,7.65,GE,CL B.Tech,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,
15xxxxxx8,YER,CL B.Tech,8.01,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,ME Dual Deg M2,,,,,,,,,
